postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3237,218,0,0,0,0,0,16/10/2021,17/10/2021
3238,219,0,0,0,0,0,16/10/2021,17/10/2021
3239,423,0,1,0,0,0,16/10/2021,17/10/2021
3240,2026,3,5,148.1,0,4,16/10/2021,17/10/2021
3241,2565,2,3,78,0,3,16/10/2021,17/10/2021
3242,828,0,1,0,0,0,16/10/2021,17/10/2021
3243,357,0,0,0,0,0,16/10/2021,17/10/2021
3249,3204,0,7,0,0,0,16/10/2021,17/10/2021
3250,12250,17,153,138.8,1,4,16/10/2021,17/10/2021
3251,522,0,7,0,0,0,16/10/2021,17/10/2021
3254,307,1,2,325.7,0,5,16/10/2021,17/10/2021
3260,4768,1,7,21,1,2,16/10/2021,17/10/2021
3264,2289,0,0,0,0,0,16/10/2021,17/10/2021
3265,2614,5,7,191.3,0,4,16/10/2021,17/10/2021
3266,3071,0,1,0,0,0,16/10/2021,17/10/2021
3267,245,0,0,0,0,0,16/10/2021,17/10/2021
3268,2601,0,0,0,0,0,16/10/2021,17/10/2021
3269,729,0,0,0,0,0,16/10/2021,17/10/2021
3270,251,0,0,0,0,0,16/10/2021,17/10/2021
3271,193,0,0,0,0,0,16/10/2021,17/10/2021
3272,1533,0,1,0,0,0,16/10/2021,17/10/2021
3273,146,0,1,0,0,0,16/10/2021,17/10/2021
3274,242,0,0,0,0,0,16/10/2021,17/10/2021
3275,426,0,0,0,0,0,16/10/2021,17/10/2021
3276,479,0,0,0,0,0,16/10/2021,17/10/2021
3277,1922,0,0,0,0,0,16/10/2021,17/10/2021
3278,315,0,0,0,0,0,16/10/2021,17/10/2021
3279,291,0,0,0,0,0,16/10/2021,17/10/2021
3280,31568,2,35,6.3,0,1,16/10/2021,17/10/2021
3281,1702,0,1,0,0,0,16/10/2021,17/10/2021
3282,2363,1,1,42.3,0,2,16/10/2021,17/10/2021
3283,1361,0,1,0,0,0,16/10/2021,17/10/2021
3284,3437,0,0,0,0,0,16/10/2021,17/10/2021
3285,1210,0,1,0,0,0,16/10/2021,17/10/2021
3286,564,0,0,0,0,0,16/10/2021,17/10/2021
3287,436,0,0,0,0,0,16/10/2021,17/10/2021
3289,757,0,0,0,0,0,16/10/2021,17/10/2021
3292,187,0,0,0,0,0,16/10/2021,17/10/2021
3293,302,0,1,0,0,0,16/10/2021,17/10/2021
3294,954,0,0,0,0,0,16/10/2021,17/10/2021
3300,10087,0,1,0,0,0,16/10/2021,17/10/2021
3301,1212,0,0,0,0,0,16/10/2021,17/10/2021
3302,371,0,0,0,0,0,16/10/2021,17/10/2021
3303,338,0,0,0,0,0,16/10/2021,17/10/2021
3304,2725,0,1,0,0,0,16/10/2021,17/10/2021
3305,12815,3,21,23.4,0,2,16/10/2021,17/10/2021
3309,126,0,0,0,0,0,16/10/2021,17/10/2021
3310,272,0,0,0,0,0,16/10/2021,17/10/2021
3311,1696,0,0,0,0,0,16/10/2021,17/10/2021
3312,1033,0,0,0,0,0,16/10/2021,17/10/2021
3314,525,0,0,0,0,0,16/10/2021,17/10/2021
3315,1629,0,0,0,0,0,16/10/2021,17/10/2021
3317,197,0,0,0,0,0,16/10/2021,17/10/2021
3318,1265,0,0,0,0,0,16/10/2021,17/10/2021
3319,345,0,0,0,0,0,16/10/2021,17/10/2021
3321,1519,1,3,65.8,0,3,16/10/2021,17/10/2021
3322,176,0,0,0,0,0,16/10/2021,17/10/2021
3323,88,0,0,0,0,0,16/10/2021,17/10/2021
3324,531,0,0,0,0,0,16/10/2021,17/10/2021
3325,480,0,0,0,0,0,16/10/2021,17/10/2021
3328,1720,1,4,58.1,0,3,16/10/2021,17/10/2021
3329,284,0,0,0,0,0,16/10/2021,17/10/2021
3330,222,0,0,0,0,0,16/10/2021,17/10/2021
3331,5996,4,6,66.7,0,3,16/10/2021,17/10/2021
3332,1013,1,6,98.7,0,3,16/10/2021,17/10/2021
3333,827,0,1,0,0,0,16/10/2021,17/10/2021
3334,566,1,2,176.7,0,4,16/10/2021,17/10/2021
3335,5859,120,245,2048.1,11,7,16/10/2021,17/10/2021
3336,0,132,329,0,13,0,16/10/2021,17/10/2021
3337,36455,309,700,847.6,46,6,16/10/2021,17/10/2021
3338,23419,286,737,1221.2,25,7,16/10/2021,17/10/2021
3340,21123,47,129,222.5,2,5,16/10/2021,17/10/2021
3341,1666,4,5,240.1,0,5,16/10/2021,17/10/2021
3342,3440,1,6,29.1,0,2,16/10/2021,17/10/2021
3345,1151,0,0,0,0,0,16/10/2021,17/10/2021
3350,59147,38,102,64.2,1,3,16/10/2021,17/10/2021
3351,8169,0,1,0,0,0,16/10/2021,17/10/2021
3352,16000,8,18,50,1,3,16/10/2021,17/10/2021
3355,13016,6,16,46.1,0,2,16/10/2021,17/10/2021
3356,16322,21,34,128.7,2,4,16/10/2021,17/10/2021
3357,3714,0,0,0,0,0,16/10/2021,17/10/2021
3358,,3,3,0,0,0,16/10/2021,17/10/2021
3360,765,0,0,0,0,0,16/10/2021,17/10/2021
3361,680,0,0,0,0,0,16/10/2021,17/10/2021
3363,3476,1,1,28.8,0,2,16/10/2021,17/10/2021
3364,2149,0,2,0,0,0,16/10/2021,17/10/2021
3370,1782,0,0,0,0,0,16/10/2021,17/10/2021
3371,990,0,0,0,0,0,16/10/2021,17/10/2021
3373,2291,3,3,130.9,0,4,16/10/2021,17/10/2021
3374,399,0,0,0,0,0,16/10/2021,17/10/2021
3375,206,0,0,0,0,0,16/10/2021,17/10/2021
3377,9414,4,16,42.5,0,2,16/10/2021,17/10/2021
3378,149,0,0,0,0,0,16/10/2021,17/10/2021
3379,801,0,1,0,0,0,16/10/2021,17/10/2021
3380,6033,0,1,0,0,0,16/10/2021,17/10/2021
3381,1211,0,2,0,0,0,16/10/2021,17/10/2021
3384,547,1,1,182.8,0,4,16/10/2021,17/10/2021
3385,517,0,0,0,0,0,16/10/2021,17/10/2021
3387,315,0,0,0,0,0,16/10/2021,17/10/2021
3388,562,0,1,0,0,0,16/10/2021,17/10/2021
3390,914,0,0,0,0,0,16/10/2021,17/10/2021
3391,172,0,0,0,0,0,16/10/2021,17/10/2021
3392,581,0,0,0,0,0,16/10/2021,17/10/2021
3393,2684,0,1,0,0,0,16/10/2021,17/10/2021
3395,361,0,0,0,0,0,16/10/2021,17/10/2021
3396,738,0,0,0,0,0,16/10/2021,17/10/2021
3400,14541,1,4,6.9,0,1,16/10/2021,17/10/2021
3401,4418,1,12,22.6,0,2,16/10/2021,17/10/2021
3407,422,0,0,0,0,0,16/10/2021,17/10/2021
3409,937,0,1,0,0,0,16/10/2021,17/10/2021
3412,299,0,0,0,0,0,16/10/2021,17/10/2021
3413,220,0,0,0,0,0,16/10/2021,17/10/2021
3414,1824,0,0,0,0,0,16/10/2021,17/10/2021
3415,40,0,0,0,0,0,16/10/2021,17/10/2021
3418,2771,0,0,0,0,0,16/10/2021,17/10/2021
3419,806,0,0,0,0,0,16/10/2021,17/10/2021
3420,277,1,2,361,0,5,16/10/2021,17/10/2021
3423,480,0,0,0,0,0,16/10/2021,17/10/2021
3424,769,0,0,0,0,0,16/10/2021,17/10/2021
3427,2761,19,49,688.2,0,6,16/10/2021,17/10/2021
3428,680,0,0,0,0,0,16/10/2021,17/10/2021
3429,36296,142,437,391.2,11,5,16/10/2021,17/10/2021
3430,322,0,0,0,0,0,16/10/2021,17/10/2021
3431,3945,1,21,25.3,0,2,16/10/2021,17/10/2021
3432,196,0,0,0,0,0,16/10/2021,17/10/2021
3433,216,2,5,925.9,0,6,16/10/2021,17/10/2021
3434,5070,6,27,118.3,0,4,16/10/2021,17/10/2021
3435,2878,5,10,173.7,0,4,16/10/2021,17/10/2021
3437,10445,14,32,134,1,4,16/10/2021,17/10/2021
3438,2386,1,7,41.9,0,2,16/10/2021,17/10/2021
3440,2040,1,3,49,0,2,16/10/2021,17/10/2021
3441,1337,1,4,74.8,0,3,16/10/2021,17/10/2021
3442,7463,6,16,80.4,2,3,16/10/2021,17/10/2021
3444,9197,13,27,141.4,1,4,16/10/2021,17/10/2021
3446,1028,0,0,0,0,0,16/10/2021,17/10/2021
3447,448,0,0,0,0,0,16/10/2021,17/10/2021
3448,878,1,5,113.9,0,4,16/10/2021,17/10/2021
3450,6838,14,20,204.7,0,5,16/10/2021,17/10/2021
3595,665,0,0,0,0,0,16/10/2021,17/10/2021
3596,96,0,0,0,0,0,16/10/2021,17/10/2021
3597,413,0,0,0,0,0,16/10/2021,17/10/2021
3599,133,0,0,0,0,0,16/10/2021,17/10/2021
3607,136,0,0,0,0,0,16/10/2021,17/10/2021
3608,2417,0,0,0,0,0,16/10/2021,17/10/2021
3610,1714,4,4,233.4,0,5,16/10/2021,17/10/2021
3612,1708,0,2,0,0,0,16/10/2021,17/10/2021
3614,882,0,2,0,0,0,16/10/2021,17/10/2021
3616,5353,21,27,392.3,0,5,16/10/2021,17/10/2021
3617,163,0,0,0,0,0,16/10/2021,17/10/2021
3618,675,0,7,0,0,0,16/10/2021,17/10/2021
3620,8241,1,5,12.1,0,1,16/10/2021,17/10/2021
3621,2368,0,0,0,0,0,16/10/2021,17/10/2021
3622,456,0,1,0,0,0,16/10/2021,17/10/2021
3623,903,0,0,0,0,0,16/10/2021,17/10/2021
3624,558,0,1,0,0,0,16/10/2021,17/10/2021
3629,9130,8,22,87.6,1,3,16/10/2021,17/10/2021
3630,31266,158,300,505.3,30,6,16/10/2021,17/10/2021
3631,11610,39,120,335.9,1,5,16/10/2021,17/10/2021
3632,0,0,0,0,0,0,16/10/2021,17/10/2021
3633,604,0,0,0,0,0,16/10/2021,17/10/2021
3634,1798,5,5,278.1,1,5,16/10/2021,17/10/2021
3635,536,0,0,0,0,0,16/10/2021,17/10/2021
3636,5241,2,4,38.2,0,2,16/10/2021,17/10/2021
3637,593,0,0,0,0,0,16/10/2021,17/10/2021
3638,2075,0,2,0,0,0,16/10/2021,17/10/2021
3639,524,0,0,0,0,0,16/10/2021,17/10/2021
3640,1000,0,0,0,0,0,16/10/2021,17/10/2021
3641,1233,0,0,0,0,0,16/10/2021,17/10/2021
3644,9229,4,6,43.3,2,2,16/10/2021,17/10/2021
3646,586,0,0,0,0,0,16/10/2021,17/10/2021
3647,40,0,0,0,0,0,16/10/2021,17/10/2021
3649,431,0,0,0,0,0,16/10/2021,17/10/2021
3658,6221,10,48,160.7,0,4,16/10/2021,17/10/2021
3659,734,1,4,136.2,0,4,16/10/2021,17/10/2021
3660,7577,8,17,105.6,0,4,16/10/2021,17/10/2021
3662,1075,2,2,186,0,4,16/10/2021,17/10/2021
3663,180,0,0,0,0,0,16/10/2021,17/10/2021
3664,1072,5,5,466.4,2,5,16/10/2021,17/10/2021
3665,357,0,0,0,0,0,16/10/2021,17/10/2021
3666,4700,6,8,127.7,1,4,16/10/2021,17/10/2021
3669,1337,0,0,0,0,0,16/10/2021,17/10/2021
3670,571,1,1,175.1,0,4,16/10/2021,17/10/2021
3672,10330,4,11,38.7,0,2,16/10/2021,17/10/2021
3673,1729,0,0,0,0,0,16/10/2021,17/10/2021
3675,1803,0,1,0,0,0,16/10/2021,17/10/2021
3677,18101,7,13,38.7,1,2,16/10/2021,17/10/2021
3678,6357,0,0,0,0,0,16/10/2021,17/10/2021
3682,616,1,1,162.3,0,4,16/10/2021,17/10/2021
3683,1760,0,0,0,0,0,16/10/2021,17/10/2021
3685,2718,0,1,0,0,0,16/10/2021,17/10/2021
3687,1098,0,0,0,0,0,16/10/2021,17/10/2021
3688,1237,0,0,0,0,0,16/10/2021,17/10/2021
3690,33522,7,16,20.9,1,2,16/10/2021,17/10/2021
3691,9704,1,3,10.3,0,1,16/10/2021,17/10/2021
3694,92,0,0,0,0,0,16/10/2021,17/10/2021
3695,472,0,0,0,0,0,16/10/2021,17/10/2021
3697,575,0,0,0,0,0,16/10/2021,17/10/2021
3698,862,0,0,0,0,0,16/10/2021,17/10/2021
3699,1124,0,0,0,0,0,16/10/2021,17/10/2021
3700,1317,0,0,0,0,0,16/10/2021,17/10/2021
3701,1075,0,0,0,0,0,16/10/2021,17/10/2021
3704,20,0,0,0,0,0,16/10/2021,17/10/2021
3705,261,0,0,0,0,0,16/10/2021,17/10/2021
3706,,1,1,0,0,0,16/10/2021,17/10/2021
3707,1836,3,3,163.4,1,4,16/10/2021,17/10/2021
3708,58,0,0,0,0,0,16/10/2021,17/10/2021
3709,295,0,0,0,0,0,16/10/2021,17/10/2021
3711,493,3,3,608.5,2,6,16/10/2021,17/10/2021
3712,353,0,0,0,0,0,16/10/2021,17/10/2021
